Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Reason_for_cancelling_by_Customer,Cancelled_Rides_by_Driver,Driver_Cancellation_Reason,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Ride_Distance,Driver_Ratings,Customer_Rating,Payment_Method,Driver_ID
23/03/2024,12:29:38 pm,"""CNR5884300""",No Driver Found,"""CID1982111""",eBike,Palam Vihar,Jhilmil,,,,null,,null,,null,,,,,null,D098
29/11/2024,6:01:39 pm,"""CNR1326809""",Incomplete,"""CID4604802""",Go Sedan,Shastri Nagar,Gurgaon Sector 56,4.9,14,,null,,null,1,Vehicle Breakdown,237,5.73,,,UPI,D032
23/08/2024,8:56:10 am,"""CNR8494506""",Completed,"""CID9202816""",Auto,Khandsa,Malviya Nagar,13.4,25.8,,null,,null,,null,627,13.58,4.9,4.9,Debit Card,D081
21/10/2024,5:17:25 pm,"""CNR8906825""",Completed,"""CID2610914""",Premier Sedan,Central Secretariat,Inderlok,13.1,28.5,,null,,null,,null,416,34.02,4.6,5,UPI,D008
16/09/2024,10:08:00 pm,"""CNR1950162""",Completed,"""CID9933542""",Bike,Ghitorni Village,Khan Market,5.3,19.6,,null,,null,,null,737,48.21,4.1,4.3,UPI,D105
06/02/2024,9:44:56 am,"""CNR4096693""",Completed,"""CID4670564""",Auto,AIIMS,Narsinghpur,5.1,18.1,,null,,null,,null,316,4.85,4.1,4.6,UPI,D087
17/06/2024,3:45:58 pm,"""CNR2002539""",Completed,"""CID6800553""",Go Mini,Vaishali,Punjabi Bagh,7.1,20.4,,null,,null,,null,640,41.24,4,4.1,UPI,D072
19/03/2024,5:37:37 pm,"""CNR6568000""",Completed,"""CID8610436""",Auto,Mayur Vihar,Cyber Hub,12.1,16.5,,null,,null,,null,136,6.56,4.4,4.2,UPI,D094
14/09/2024,12:49:09 pm,"""CNR4510807""",No Driver Found,"""CID7873618""",Go Sedan,Noida Sector 62,Noida Sector 18,,,,null,,null,,null,,,,,null,D002
16/12/2024,7:06:48 pm,"""CNR7721892""",Incomplete,"""CID5214275""",Auto,Rohini,Adarsh Nagar,6.1,26,,null,,null,1,Other Issue,135,10.36,,,Cash,D077
